State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,31/10/2025,1300.0,1800.0,1600.0
Andhra Pradesh,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,31/10/2025,1200.0,1600.0,1400.0
Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,FAQ,31/10/2025,1600.0,2100.0,1800.0
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),Large,31/10/2025,2600.0,3200.0,2900.0
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Byadgi,FAQ,31/10/2025,10000.0,15300.0,15000.0
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Guntur,FAQ,31/10/2025,10000.0,16000.0,14600.0
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red Top,FAQ,31/10/2025,10000.0,15300.0,14700.0
Andhra Pradesh,Krishna,Divi,Paddy(Dhan)(Common),B P T,FAQ,31/10/2025,2300.0,2400.0,2350.0
Andhra Pradesh,Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,31/10/2025,2200.0,2400.0,2300.0
Andhra Pradesh,Krishna,Tiruvuru,Rice,1009 Kar,FAQ,31/10/2025,4400.0,4800.0,4600.0
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,Non-FAQ,31/10/2025,4199.0,6771.0,5491.0
Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,Non-FAQ,31/10/2025,800.0,1500.0,1100.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,31/10/2025,2000.0,4000.0,3000.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,FAQ,31/10/2025,2000.0,3000.0,2500.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,31/10/2025,800.0,2000.0,1600.0
Chattisgarh,Durg,Durg,Potato,Local,Non-FAQ,31/10/2025,1600.0,1800.0,1800.0
Chattisgarh,Raigarh,Dharamjaygarh,Paddy(Dhan)(Common),1001,Non-FAQ,31/10/2025,1900.0,1900.0,1900.0
Chattisgarh,Raipur,Raipur,Green Gram (Moong)(Whole),Local (Whole),Non-FAQ,31/10/2025,8350.0,8750.0,8560.0
Chattisgarh,Rajnandgaon,Rajnandgaon,Tomato,Deshi,Non-FAQ,31/10/2025,2000.0,2500.0,2300.0
Goa,North Goa,Mapusa,Onion,Onion,FAQ,31/10/2025,1200.0,1600.0,1400.0
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,31/10/2025,1500.0,2550.0,2000.0
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,31/10/2025,950.0,2050.0,1200.0
Gujarat,Banaskanth,Lakhani,Groundnut,Other,FAQ,31/10/2025,4500.0,5630.0,5065.0
Gujarat,Bhavnagar,Bhavnagar,Bengal Gram(Gram)(Whole),Other,Non-FAQ,31/10/2025,4755.0,5665.0,5210.0
Gujarat,Bhavnagar,Bhavnagar,Cotton,Other,Non-FAQ,31/10/2025,7130.0,7660.0,7395.0
Gujarat,Bhavnagar,Mahuva(Station Road),Cotton,Shanker 6 (B) 30mm FIne,FAQ,31/10/2025,3500.0,7500.0,6000.0
Gujarat,Bhavnagar,Mahuva(Station Road),Wheat,Kalyan,FAQ,31/10/2025,2590.0,3110.0,3000.0
Gujarat,Chhota Udaipur,Kalediya,Cotton,Shanker 6 (B) 30mm FIne,FAQ,31/10/2025,7000.0,7100.0,7050.0
Gujarat,Dahod,Dahod,Soyabean,Soyabeen,Non-FAQ,31/10/2025,4350.0,4420.0,4380.0
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,31/10/2025,2750.0,2850.0,2800.0
Gujarat,Dahod,Dahod(Veg. Market),Bhindi(Ladies Finger),Bhindi,FAQ,31/10/2025,1000.0,3500.0,3000.0
Gujarat,Dahod,Dahod(Veg. Market),Bitter gourd,Bitter Gourd,FAQ,31/10/2025,1500.0,2000.0,1800.0
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,31/10/2025,3000.0,5000.0,4000.0
Gujarat,Dahod,Dahod(Veg. Market),Cluster beans,Cluster Beans,FAQ,31/10/2025,4000.0,5000.0,4500.0
Gujarat,Dahod,Dahod(Veg. Market),Cucumbar(Kheera),Cucumbar,FAQ,31/10/2025,500.0,3500.0,2500.0
Gujarat,Dahod,Dahod(Veg. Market),Lemon,Other,FAQ,31/10/2025,1000.0,4500.0,3500.0
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,31/10/2025,1200.0,2200.0,2000.0
